timestep,relay_id,x,y,z
1,uav_1,6000.0,6000.0,150.0
1,uav_2,1000.0,1000.0,180.0
1,uav_3,1000.0,1000.0,250.0
2,uav_1,6030.0,6000.0,150.0
2,uav_2,1035.0,1000.0,180.0
2,uav_3,1050.0,1000.0,250.0
3,uav_1,6060.0,6000.0,150.0
3,uav_2,1070.0,1000.0,180.0
3,uav_3,1100.0,1000.0,250.0
4,uav_1,6090.0,6000.0,150.0
4,uav_2,1105.0,1000.0,180.0
4,uav_3,1150.0,1000.0,250.0
5,uav_1,6120.0,6000.0,150.0
5,uav_2,1140.0,1000.0,180.0
5,uav_3,1200.0,1000.0,250.0
6,uav_1,6150.0,6000.0,150.0
6,uav_2,1175.0,1000.0,180.0
6,uav_3,1250.0,1000.0,250.0
7,uav_1,6180.0,6000.0,150.0
7,uav_2,1210.0,1000.0,180.0
7,uav_3,1300.0,1000.0,250.0
8,uav_1,6210.0,6000.0,150.0
8,uav_2,1245.0,1000.0,180.0
8,uav_3,1350.0,1000.0,250.0
9,uav_1,6240.0,6000.0,150.0
9,uav_2,1280.0,1000.0,180.0
9,uav_3,1400.0,1000.0,250.0
10,uav_1,6270.0,6000.0,150.0
10,uav_2,1315.0,1000.0,180.0
10,uav_3,1450.0,1000.0,250.0
11,uav_1,6300.0,6000.0,150.0
11,uav_2,1350.0,1000.0,180.0
11,uav_3,1500.0,1000.0,250.0
12,uav_1,6330.0,6000.0,150.0
12,uav_2,1385.0,1000.0,180.0
12,uav_3,1550.0,1000.0,250.0
13,uav_1,6360.0,6000.0,150.0
13,uav_2,1420.0,1000.0,180.0
13,uav_3,1600.0,1000.0,250.0
14,uav_1,6390.0,6000.0,150.0
14,uav_2,1455.0,1000.0,180.0
14,uav_3,1650.0,1000.0,250.0
15,uav_1,6420.0,6000.0,150.0
15,uav_2,1490.0,1000.0,180.0
15,uav_3,1700.0,1000.0,250.0
16,uav_1,6450.0,6000.0,150.0
16,uav_2,1525.0,1000.0,180.0
16,uav_3,1750.0,1000.0,250.0
17,uav_1,6480.0,6000.0,150.0
17,uav_2,1560.0,1000.0,180.0
17,uav_3,1800.0,1000.0,250.0
18,uav_1,6510.0,6000.0,150.0
18,uav_2,1595.0,1000.0,180.0
18,uav_3,1850.0,1000.0,250.0
19,uav_1,6540.0,6000.0,150.0
19,uav_2,1630.0,1000.0,180.0
19,uav_3,1900.0,1000.0,250.0
20,uav_1,6570.0,6000.0,150.0
20,uav_2,1665.0,1000.0,180.0
20,uav_3,1950.0,1000.0,250.0
21,uav_1,6600.0,6000.0,150.0
21,uav_2,1700.0,1000.0,180.0
21,uav_3,2000.0,1000.0,250.0
22,uav_1,6630.0,6000.0,150.0
22,uav_2,1735.0,1000.0,180.0
22,uav_3,2050.0,1000.0,250.0
23,uav_1,6660.0,6000.0,150.0
23,uav_2,1770.0,1000.0,180.0
23,uav_3,2100.0,1000.0,250.0
24,uav_1,6690.0,6000.0,150.0
24,uav_2,1805.0,1000.0,180.0
24,uav_3,2150.0,1000.0,250.0
25,uav_1,6720.0,6000.0,150.0
25,uav_2,1840.0,1000.0,180.0
25,uav_3,2200.0,1000.0,250.0
26,uav_1,6750.0,6000.0,150.0
26,uav_2,1875.0,1000.0,180.0
26,uav_3,2250.0,1000.0,250.0
27,uav_1,6780.0,6000.0,150.0
27,uav_2,1910.0,1000.0,180.0
