timestep,relay_id,x,y,z
1,gbs_1,1000.0,1000.0,25.0
1,gbs_2,1000.0,9000.0,25.0
1,gbs_3,9000.0,1000.0,25.0
1,gbs_4,9000.0,9000.0,25.0
1,gbs_5,5000.0,5000.0,30.0
2,gbs_1,1000.0,1000.0,25.0
2,gbs_2,1000.0,9000.0,25.0
2,gbs_3,9000.0,1000.0,25.0
2,gbs_4,9000.0,9000.0,25.0
2,gbs_5,5000.0,5000.0,30.0
3,gbs_1,1000.0,1000.0,25.0
3,gbs_2,1000.0,9000.0,25.0
3,gbs_3,9000.0,1000.0,25.0
3,gbs_4,9000.0,9000.0,25.0
3,gbs_5,5000.0,5000.0,30.0
4,gbs_1,1000.0,1000.0,25.0
4,gbs_2,1000.0,9000.0,25.0
4,gbs_3,9000.0,1000.0,25.0
4,gbs_4,9000.0,9000.0,25.0
4,gbs_5,5000.0,5000.0,30.0
5,gbs_1,1000.0,1000.0,25.0
5,gbs_2,1000.0,9000.0,25.0
5,gbs_3,9000.0,1000.0,25.0
5,gbs_4,9000.0,9000.0,25.0
5,gbs_5,5000.0,5000.0,30.0
6,gbs_1,1000.0,1000.0,25.0
6,gbs_2,1000.0,9000.0,25.0
6,gbs_3,9000.0,1000.0,25.0
6,gbs_4,9000.0,9000.0,25.0
6,gbs_5,5000.0,5000.0,30.0
7,gbs_1,1000.0,1000.0,25.0
7,gbs_2,1000.0,9000.0,25.0
7,gbs_3,9000.0,1000.0,25.0
7,gbs_4,9000.0,9000.0,25.0
7,gbs_5,5000.0,5000.0,30.0
8,gbs_1,1000.0,1000.0,25.0
8,gbs_2,1000.0,9000.0,25.0
8,gbs_3,9000.0,1000.0,25.0
8,gbs_4,9000.0,9000.0,25.0
8,gbs_5,5000.0,5000.0,30.0
9,gbs_1,1000.0,1000.0,25.0
9,gbs_2,1000.0,9000.0,25.0
9,gbs_3,9000.0,1000.0,25.0
9,gbs_4,9000.0,9000.0,25.0
9,gbs_5,5000.0,5000.0,30.0
10,gbs_1,1000.0,1000.0,25.0
10,gbs_2,1000.0,9000.0,25.0
10,gbs_3,9000.0,1000.0,25.0
10,gbs_4,9000.0,9000.0,25.0
10,gbs_5,5000.0,5000.0,30.0
11,gbs_1,1000.0,1000.0,25.0
