timestep,relay_id,x,y,z
1,leo_0,-42500,5000,550000
2,leo_0,-35000,5000,550000
3,leo_0,-27500,5000,550000
4,leo_0,-20000,5000,550000
5,leo_0,-12500,5000,550000
6,leo_0,-5000,5000,550000
7,leo_0,2500,5000,550000
8,leo_0,10000,5000,550000
9,leo_0,17500,5000,550000
10,leo_0,25000,5000,550000
11,leo_0,32500,5000,550000
12,leo_0,40000,5000,550000
13,leo_0,47500,5000,550000
14,leo_0,55000,5000,550000
15,leo_0,62500,5000,550000
16,leo_0,70000,5000,550000
17,leo_0,77500,5000,550000
18,leo_0,85000,5000,550000
19,leo_0,92500,5000,550000
20,leo_0,100000,5000,550000
21,leo_0,-50000,5000,550000
22,leo_0,-50000,5000,550000
23,leo_0,-50000,5000,550000
24,leo_0,-50000,5000,550000
25,leo_0,-50000,5000,550000
26,leo_0,-50000,5000,550000
27,leo_0,-50000,5000,550000
28,leo_0,-50000,5000,550000
29,leo_0,-50000,5000,550000
30,leo_0,-50000,5000,550000
31,leo_0,-50000,5000,550000
32,leo_0,-50000,5000,550000
33,leo_0,-50000,5000,550000
34,leo_0,-50000,5000,550000
35,leo_0,-50000,5000,550000
36,leo_0,-50000,5000,550000
37,leo_0,-50000,5000,550000
38,leo_0,-50000,5000,550000
39,leo_0,-50000,5000,550000
40,leo_0,-50000,5000,550000
41,leo_0,-50000,5000,550000
42,leo_0,-50000,5000,550000
43,leo_0,-50000,5000,550000
44,leo_0,-50000,5000,550000
45,leo_0,-50000,5000,550000
46,leo_0,-50000,5000,550000
47,leo_0,-50000,5000,550000
48,leo_0,-50000,5000,550000
49,leo_0,-50000,5000,550000
50,leo_0,-50000,5000,550000
51,leo_0,-50000,5000,550000
52,leo_0,-50000,5000,550000
53,leo_0,-50000,5000,550000
54,leo_0,-50000,5000,550000
55,leo_0,-50000,5000,550000
56,leo_0,-50000,5000,550000
57,leo_0,-50000,5000,550000
58,leo_0,-50000,5000,550000
59,leo_0,-50000,5000,550000
60,leo_0,-50000,5000,550000
61,leo_0,-50000,5000,550000
62,leo_0,-50000,5000,550000
63,leo_0,-50000,5000,550000
64,leo_0,-50000,5000,550000
65,leo_0,-50000,5000,550000
66,leo_0,-50000,5000,550000
67,leo_0,-50000,5000,550000
68,leo_0,-50000,5000,550000
69,leo_0,-50000,5000,550000
70,leo_0,-50000,5000,550000
71,leo_0,-50000,5000,550000
72,leo_0,-50000,5000,550000
73,leo_0,-50000,5000,550000
74,leo_0,-50000,5000,550000
75,leo_0,-50000,5000,550000
76,leo_0,-50000,5000,550000
77,leo_0,-50000,5000,550000
78,leo_0,-50000,5000,550000
79,leo_0,-50000,5000,550000
80,leo_0,-50000,5000,550000
81,leo_0,-50000,5000,550000
82,leo_0,-50000,5000,550000
83,leo_0,-50000,5000,550000
84,leo_0,-50000,5000,550000
85,leo_0,-50000,5000,550000
86,leo_0,-50000,5000,550000
87,leo_0,-50000,5000,550000
88,leo_0,-50000,5000,550000
89,leo_0,-50000,5000,550000
90,leo_0,-50000,5000,550000
91,leo_0,-50000,5000,550000
92,leo_0,-50000,5000,550000
93,leo_0,-50000,5000,550000
94,leo_0,-50000,5000,550000
95,leo_0,-50000,5000,550000
96,leo_0,-50000,5000,550000
97,leo_0,-50000,5000,550000
98,leo_0,-50000,5000,550000
99,leo_0,-50000,5000,550000
100,leo_0,-50000,5000,550000
101,leo_0,-50000,5000,550000
102,leo_0,-50000,5000,550000
103,leo_0,-50000,5000,550000
104,leo_0,-50000,5000,550000
105,leo_0,-50000,5000,550000
106,leo_0,-50000,5000,550000
107,leo_0,-50000,5000,550000
108,leo_0,-50000,5000,550000
109,leo_0,-50000,5000,550000
110,leo_0,-50000,5000,550000
111,leo_0,-50000,5000,550000
112,leo_0,-50000,5000,550000
113,leo_0,-50000,5000,550000
114,leo_0,-50000,5000,550000
115,leo_0,-50000,5000,550000
116,leo_0,-50000,5000,550000
117,leo_0,-50000,5000,550000
118,leo_0,-50000,5000,550000
119,leo_0,-50000,5000,550000
120,leo_0,-50000,5000,550000
121,leo_0,-50000,5000,550000
122,leo_0,-50000,5000,550000
123,leo_0,-50000,5000,550000
124,leo_0,-50000,5000,550000
125,leo_0,-50000,5000,550000
126,leo_0,-50000,5000,550000
127,leo_0,-50000,5000,550000
128,leo_0,-50000,5000,550000
129,leo_0,-50000,5000,550000
130,leo_0,-50000,5000,550000
131,leo_0,-50000,5000,550000
132,leo_0,-50000,5000,550000
133,leo_0,-50000,5000,550000
134,leo_0,-50000,5000,550000
135,leo_0,-50000,5000,550000
136,leo_0,-50000,5000,550000
137,leo_0,-50000,5000,550000
138,leo_0,-50000,5000,550000
139,leo_0,-50000,5000,550000
140,leo_0,-50000,5000,550000
141,leo_0,-50000,5000,550000
142,leo_0,-50000,5000,550000
143,leo_0,-50000,5000,550000
144,leo_0,-50000,5000,550000
145,leo_0,-50000,5000,550000
146,leo_0,-50000,5000,550000
147,leo_0,-50000,5000,550000
148,leo_0,-50000,5000,550000
149,leo_0,-50000,5000,550000
150,leo_0,-50000,5000,550000
151,leo_0,-50000,5000,550000
152,leo_0,-50000,5000,550000
153,leo_0,-50000,5000,550000
154,leo_0,-50000,5000,550000
155,leo_0,-50000,5000,550000
156,leo_0,-50000,5000,550000
157,leo_0,-50000,5000,550000
158,leo_0,-50000,5000,550000
159,leo_0,-50000,5000,550000
160,leo_0,-50000,5000,550000
161,leo_0,-50000,5000,550000
162,leo_0,-50000,5000,550000
163,leo_0,-50000,5000,550000
164,leo_0,-50000,5000,550000
165,leo_0,-50000,5000,550000
166,leo_0,-50000,5000,550000
167,leo_0,-50000,5000,550000
168,leo_0,-50000,5000,550000
169,leo_0,-50000,5000,550000
170,leo_0,-50000,5000,550000
171,leo_0,-50000,5000,550000
172,leo_0,-50000,5000,550000
173,leo_0,-50000,5000,550000
174,leo_0,-50000,5000,550000
175,leo_0,-50000,5000,550000
176,leo_0,-50000,5000,550000
177,leo_0,-50000,5000,550000
178,leo_0,-50000,5000,550000
179,leo_0,-50000,5000,550000
180,leo_0,-50000,5000,550000
181,leo_0,-50000,5000,550000
182,leo_0,-50000,5000,550000
183,leo_0,-50000,5000,550000
184,leo_0,-50000,5000,550000
185,leo_0,-50000,5000,550000
186,leo_0,-50000,5000,550000
187,leo_0,-50000,5000,550000
188,leo_0,-50000,5000,550000
189,leo_0,-50000,5000,550000
190,leo_0,-50000,5000,550000
191,leo_0,-50000,5000,550000
192,leo_0,-50000,5000,550000
193,leo_0,-50000,5000,550000
194,leo_0,-50000,5000,550000
195,leo_0,-50000,5000,550000
196,leo_0,-50000,5000,550000
197,leo_0,-50000,5000,550000
198,leo_0,-50000,5000,550000
199,leo_0,-50000,5000,550000
200,leo_0,-50000,5000,550000
201,leo_0,-50000,5000,550000
202,leo_0,-50000,5000,550000
203,leo_0,-50000,5000,550000
204,leo_0,-50000,5000,550000
205,leo_0,-50000,5000,550000
206,leo_0,-50000,5000,550000
207,leo_0,-50000,5000,550000
208,leo_0,-50000,5000,550000
209,leo_0,-50000,5000,550000
210,leo_0,-50000,5000,550000
211,leo_0,-50000,5000,550000
212,leo_0,-50000,5000,550000
213,leo_0,-50000,5000,550000
214,leo_0,-50000,5000,550000
215,leo_0,-50000,5000,550000
216,leo_0,-50000,5000,550000
217,leo_0,-50000,5000,550000
218,leo_0,-50000,5000,550000
219,leo_0,-50000,5000,550000
220,leo_0,-50000,5000,550000
221,leo_0,-50000,5000,550000
222,leo_0,-50000,5000,550000
223,leo_0,-50000,5000,550000
224,leo_0,-50000,5000,550000
225,leo_0,-50000,5000,550000
226,leo_0,-50000,5000,550000
227,leo_0,-50000,5000,550000
228,leo_0,-50000,5000,550000
229,leo_0,-50000,5000,550000
230,leo_0,-50000,5000,550000
231,leo_0,-50000,5000,550000
232,leo_0,-50000,5000,550000
233,leo_0,-50000,5000,550000
234,leo_0,-50000,5000,550000
