timestep,vehicle_id,x,y,z,speed
1,veh0,9000.0,1981.79,0.0,18.21
1,veh1,10000.0,4000.0,0.0,17.63
1,veh2,9015.98,8000.0,0.0,15.98
1,veh3,3981.48,0.0,0.0,18.52
1,veh4,1011.55,4000.0,0.0,11.55
1,veh5,1981.22,10000.0,0.0,18.78
1,veh6,0.0,8985.65,0.0,14.35
1,veh7,988.34,5000.0,0.0,11.66
1,veh8,10000.0,19.08,0.0,19.08
1,veh9,9985.32,5000.0,0.0,14.68
1,veh10,7017.88,3000.0,0.0,17.88
1,veh11,2019.22,2000.0,0.0,19.22
1,veh12,5000.0,2986.02,0.0,13.98
1,veh13,9011.16,2000.0,0.0,11.16
1,veh14,6984.79,4000.0,0.0,15.21
1,veh15,6985.1,8000.0,0.0,14.9
1,veh16,9000.0,0.0,0.0,11.87
1,veh17,3000.0,2988.68,0.0,11.32
1,veh18,2000.0,8019.82,0.0,19.82
1,veh19,7000.0,9982.9,0.0,17.1
1,veh20,6000.0,1017.76,0.0,17.76
1,veh21,9000.0,0.0,0.0,14.41
1,veh22,6986.79,3000.0,0.0,13.21
1,veh23,9000.0,18.95,0.0,18.95
1,veh24,5000.0,9982.47,0.0,17.53
1,veh25,9986.27,7000.0,0.0,13.73
1,veh26,4000.0,4012.44,0.0,12.44
1,veh27,9019.74,5000.0,0.0,19.74
1,veh28,5000.0,9986.0,0.0,14.0
1,veh29,3000.0,7988.03,0.0,11.97
1,veh30,1017.93,2000.0,0.0,17.93
1,veh31,5983.22,10000.0,0.0,16.78
1,veh32,6018.75,10000.0,0.0,18.75
1,veh33,8000.0,5984.99,0.0,15.01
1,veh34,18.03,0.0,0.0,18.03
1,veh35,0.0,7018.81,0.0,18.81
1,veh36,4000.0,10000.0,0.0,15.99
1,veh37,4018.54,0.0,0.0,18.54
1,veh38,0.0,2980.66,0.0,19.34
1,veh39,5000.0,6985.89,0.0,14.11
1,veh40,9019.46,0.0,0.0,19.46
1,veh41,10000.0,7980.91,0.0,19.09
1,veh42,1984.41,10000.0,0.0,15.59
1,veh43,10000.0,10000.0,0.0,16.27
1,veh44,6987.77,3000.0,0.0,12.23
1,veh45,6985.91,3000.0,0.0,14.09
1,veh46,8986.03,2000.0,0.0,13.97
1,veh47,2000.0,9018.37,0.0,18.37
1,veh48,8016.53,2000.0,0.0,16.53
1,veh49,7011.64,8000.0,0.0,11.64
2,veh0,9000.0,1963.58,0.0,18.21
2,veh1,9982.37,4000.0,0.0,17.63
2,veh2,9031.97,8000.0,0.0,15.98
2,veh3,3962.96,0.0,0.0,18.52
2,veh4,1023.11,4000.0,0.0,11.55
2,veh5,1962.44,10000.0,0.0,18.78
2,veh6,0.0,8971.3,0.0,14.35
2,veh7,976.67,5000.0,0.0,11.66
2,veh8,10000.0,38.15,0.0,19.08
2,veh9,9970.65,5000.0,0.0,14.68
2,veh10,7035.76,3000.0,0.0,17.88
2,veh11,2038.43,2000.0,0.0,19.22
2,veh12,5000.0,2972.05,0.0,13.98
2,veh13,9022.32,2000.0,0.0,11.16
2,veh14,6969.58,4000.0,0.0,15.21
2,veh15,6970.2,8000.0,0.0,14.9
2,veh16,8988.13,0.0,0.0,11.87
2,veh17,3000.0,2977.35,0.0,11.32
2,veh18,2000.0,8039.63,0.0,19.82
2,veh19,7000.0,9965.8,0.0,17.1
2,veh20,6000.0,1035.53,0.0,17.76
2,veh21,9000.0,14.41,0.0,14.41
2,veh22,6973.57,3000.0,0.0,13.21
2,veh23,9000.0,37.91,0.0,18.95
2,veh24,5000.0,9964.94,0.0,17.53
2,veh25,9972.54,7000.0,0.0,13.73
2,veh26,4000.0,4024.89,0.0,12.44
2,veh27,9039.48,5000.0,0.0,19.74
2,veh28,5000.0,9972.0,0.0,14.0
2,veh29,3000.0,7976.07,0.0,11.97
2,veh30,1035.86,2000.0,0.0,17.93
2,veh31,5966.43,10000.0,0.0,16.78
2,veh32,6037.5,10000.0,0.0,18.75
2,veh33,8000.0,5969.99,0.0,15.01
2,veh34,36.05,0.0,0.0,18.03
2,veh35,0.0,7037.61,0.0,18.81
2,veh36,4000.0,9984.01,0.0,15.99
2,veh37,4037.09,0.0,0.0,18.54
2,veh38,0.0,2961.33,0.0,19.34
2,veh39,5000.0,6971.78,0.0,14.11
2,veh40,9038.92,0.0,0.0,19.46
2,veh41,10000.0,7961.81,0.0,19.09
2,veh42,1968.82,10000.0,0.0,15.59
2,veh43,10000.0,10000.0,0.0,16.27
2,veh44,6975.53,3000.0,0.0,12.23
2,veh45,6971.81,3000.0,0.0,14.09
2,veh46,8972.06,2000.0,0.0,13.97
2,veh47,2000.0,9036.73,0.0,18.37
2,veh48,8033.05,2000.0,0.0,16.53
2,veh49,7023.28,8000.0,0.0,11.64
3,veh0,9000.0,1945.37,0.0,18.21
3,veh1,9964.73,4000.0,0.0,17.63
3,veh2,9047.95,8000.0,0.0,15.98
3,veh3,3944.44,0.0,0.0,18.52
3,veh4,1034.66,4000.0,0.0,11.55
3,veh5,1943.66,10000.0,0.0,18.78
3,veh6,0.0,8956.95,0.0,14.35
3,veh7,965.01,5000.0,0.0,11.66
3,veh8,10000.0,57.23,0.0,19.08
3,veh9,9955.97,5000.0,0.0,14.68
3,veh10,7053.63,3000.0,0.0,17.88
3,veh11,2057.65,2000.0,0.0,19.22
3,veh12,5000.0,2958.07,0.0,13.98
3,veh13,9033.48,2000.0,0.0,11.16
3,veh14,6954.37,4000.0,0.0,15.21
3,veh15,6955.3,8000.0,0.0,14.9
3,veh16,8976.27,0.0,0.0,11.87
3,veh17,3000.0,2966.03,0.0,11.32
3,veh18,2000.0,8059.45,0.0,19.82
3,veh19,7000.0,9948.7,0.0,17.1
3,veh20,6000.0,1053.29,0.0,17.76
3,veh21,9000.0,28.83,0.0,14.41
3,veh22,6960.36,3000.0,0.0,13.21
3,veh23,9000.0,56.86,0.0,18.95
3,veh24,5000.0,9947.41,0.0,17.53
3,veh25,9958.81,7000.0,0.0,13.73
3,veh26,4000.0,4037.33,0.0,12.44
3,veh27,9059.22,5000.0,0.0,19.74
3,veh28,5000.0,9958.01,0.0,14.0
3,veh29,3000.0,7964.1,0.0,11.97
3,veh30,1053.79,2000.0,0.0,17.93
3,veh31,5949.65,10000.0,0.0,16.78
3,veh32,6056.26,10000.0,0.0,18.75
3,veh33,8000.0,5954.98,0.0,15.01
3,veh34,54.08,0.0,0.0,18.03
3,veh35,0.0,7056.42,0.0,18.81
3,veh36,4000.0,9968.03,0.0,15.99
3,veh37,4055.63,0.0,0.0,18.54
3,veh38,0.0,2941.99,0.0,19.34
3,veh39,5000.0,6957.67,0.0,14.11
3,veh40,9058.38,0.0,0.0,19.46
3,veh41,10000.0,7942.72,0.0,19.09
3,veh42,1953.22,10000.0,0.0,15.59
3,veh43,9983.73,10000.0,0.0,16.27
3,veh44,6963.3,3000.0,0.0,12.23
3,veh45,6957.72,3000.0,0.0,14.09
3,veh46,8958.09,2000.0,0.0,13.97
3,veh47,2000.0,9055.1,0.0,18.37
3,veh48,8049.58,2000.0,0.0,16.53
3,veh49,7034.92,8000.0,0.0,11.64
4,veh0,9000.0,1927.17,0.0,18.21
4,veh1,9947.1,4000.0,0.0,17.63
4,veh2,9063.94,8000.0,0.0,15.98
4,veh3,3925.92,0.0,0.0,18.52
4,veh4,1046.22,4000.0,0.0,11.55
4,veh5,1924.88,10000.0,0.0,18.78
4,veh6,0.0,8942.6,0.0,14.35
4,veh7,953.35,5000.0,0.0,11.66
4,veh8,10000.0,76.3,0.0,19.08
4,veh9,9941.3,5000.0,0.0,14.68
4,veh10,7071.51,3000.0,0.0,17.88
4,veh11,2076.86,2000.0,0.0,19.22
4,veh12,5000.0,2944.09,0.0,13.98
4,veh13,9044.64,2000.0,0.0,11.16
4,veh14,6939.16,4000.0,0.0,15.21
4,veh15,6940.39,8000.0,0.0,14.9
4,veh16,8964.4,0.0,0.0,11.87
4,veh17,3000.0,2954.7,0.0,11.32
4,veh18,2000.0,8079.27,0.0,19.82
4,veh19,7000.0,9931.6,0.0,17.1
4,veh20,6000.0,1071.06,0.0,17.76
4,veh21,9000.0,43.24,0.0,14.41
4,veh22,6947.14,3000.0,0.0,13.21
4,veh23,9000.0,75.82,0.0,18.95
4,veh24,5000.0,9929.88,0.0,17.53
4,veh25,9945.08,7000.0,0.0,13.73
4,veh26,4000.0,4049.78,0.0,12.44
4,veh27,9078.95,5000.0,0.0,19.74
4,veh28,5000.0,9944.01,0.0,14.0
4,veh29,3000.0,7952.14,0.0,11.97
4,veh30,1071.73,2000.0,0.0,17.93
4,veh31,5932.86,10000.0,0.0,16.78
4,veh32,6075.01,10000.0,0.0,18.75
4,veh33,8000.0,5939.98,0.0,15.01
4,veh34,72.1,0.0,0.0,18.03
4,veh35,0.0,7075.23,0.0,18.81
4,veh36,4000.0,9952.04,0.0,15.99
4,veh37,4074.18,0.0,0.0,18.54
4,veh38,0.0,2922.66,0.0,19.34
4,veh39,5000.0,6943.56,0.0,14.11
4,veh40,9077.83,0.0,0.0,19.46
4,veh41,10000.0,7923.62,0.0,19.09
4,veh42,1937.63,10000.0,0.0,15.59
4,veh43,9967.47,10000.0,0.0,16.27
4,veh44,6951.06,3000.0,0.0,12.23
4,veh45,6943.62,3000.0,0.0,14.09
4,veh46,8944.12,2000.0,0.0,13.97
4,veh47,2000.0,9073.47,0.0,18.37
4,veh48,8066.11,2000.0,0.0,16.53
4,veh49,7046.55,8000.0,0.0,11.64
5,veh0,9000.0,1908.96,0.0,18.21
5,veh1,9929.47,4000.0,0.0,17.63
5,veh2,9079.92,8000.0,0.0,15.98
5,veh3,3907.4,0.0,0.0,18.52
5,veh4,1057.77,4000.0,0.0,11.55
5,veh5,1906.11,10000.0,0.0,18.78
5,veh6,0.0,8928.25,0.0,14.35
5,veh7,941.68,5000.0,0.0,11.66
5,veh8,10000.0,95.38,0.0,19.08
5,veh9,9926.62,5000.0,0.0,14.68
5,veh10,7089.39,3000.0,0.0,17.88
5,veh11,2096.08,2000.0,0.0,19.22
5,veh12,5000.0,2930.12,0.0,13.98
5,veh13,9055.8,2000.0,0.0,11.16
5,veh14,6923.95,4000.0,0.0,15.21
5,veh15,6925.49,8000.0,0.0,14.9
5,veh16,8952.54,0.0,0.0,11.87
5,veh17,3000.0,2943.38,0.0,11.32
5,veh18,2000.0,8099.09,0.0,19.82
5,veh19,7000.0,9914.5,0.0,17.1
5,veh20,6000.0,1088.82,0.0,17.76
5,veh21,9000.0,57.65,0.0,14.41
5,veh22,6933.93,3000.0,0.0,13.21
5,veh23,9000.0,94.77,0.0,18.95
5,veh24,5000.0,9912.35,0.0,17.53
5,veh25,9931.35,7000.0,0.0,13.73
5,veh26,4000.0,4062.22,0.0,12.44
5,veh27,9098.69,5000.0,0.0,19.74
5,veh28,5000.0,9930.01,0.0,14.0
5,veh29,3000.0,7940.17,0.0,11.97
5,veh30,1089.66,2000.0,0.0,17.93
5,veh31,5916.08,10000.0,0.0,16.78
5,veh32,6093.76,10000.0,0.0,18.75
5,veh33,8000.0,5924.97,0.0,15.01
5,veh34,90.13,0.0,0.0,18.03
5,veh35,0.0,7094.03,0.0,18.81
5,veh36,4000.0,9936.06,0.0,15.99
5,veh37,4092.72,0.0,0.0,18.54
5,veh38,0.0,2903.32,0.0,19.34
5,veh39,5000.0,6929.44,0.0,14.11
5,veh40,9097.29,0.0,0.0,19.46
5,veh41,10000.0,7904.53,0.0,19.09
5,veh42,1922.04,10000.0,0.0,15.59
5,veh43,9951.2,10000.0,0.0,16.27
5,veh44,6938.83,3000.0,0.0,12.23
5,veh45,6929.53,3000.0,0.0,14.09
5,veh46,8930.14,2000.0,0.0,13.97
5,veh47,2000.0,9091.83,0.0,18.37
5,veh48,8082.64,2000.0,0.0,16.53
5,veh49,7058.19,8000.0,0.0,11.64
6,veh0,9000.0,1890.75,0.0,18.21
6,veh1,9911.83,4000.0,0.0,17.63
6,veh2,9095.91,8000.0,0.0,15.98
6,veh3,3888.88,0.0,0.0,18.52
6,veh4,1069.33,4000.0,0.0,11.55
6,veh5,1887.33,10000.0,0.0,18.78
6,veh6,0.0,8913.9,0.0,14.35
6,veh7,930.02,5000.0,0.0,11.66
6,veh8,10000.0,114.46,0.0,19.08
6,veh9,9911.94,5000.0,0.0,14.68
6,veh10,7107.27,3000.0,0.0,17.88
6,veh11,2115.29,2000.0,0.0,19.22
6,veh12,5000.0,2916.14,0.0,13.98
6,veh13,9066.96,2000.0,0.0,11.16
6,veh14,6908.75,4000.0,0.0,15.21
6,veh15,6910.59,8000.0,0.0,14.9
6,veh16,8940.67,0.0,0.0,11.87
6,veh17,3000.0,2932.05,0.0,11.32
6,veh18,2000.0,8118.9,0.0,19.82
6,veh19,7000.0,9897.4,0.0,17.1
6,veh20,6000.0,1106.58,0.0,17.76
6,veh21,9000.0,72.07,0.0,14.41
6,veh22,6920.71,3000.0,0.0,13.21
6,veh23,9000.0,113.73,0.0,18.95
6,veh24,5000.0,9894.82,0.0,17.53
6,veh25,9917.62,7000.0,0.0,13.73
6,veh26,4000.0,4074.66,0.0,12.44
6,veh27,9118.43,5000.0,0.0,19.74
6,veh28,5000.0,9916.01,0.0,14.0
6,veh29,3000.0,7928.21,0.0,11.97
6,veh30,1107.59,2000.0,0.0,17.93
6,veh31,5899.29,10000.0,0.0,16.78
6,veh32,6112.51,10000.0,0.0,18.75
6,veh33,8000.0,5909.96,0.0,15.01
6,veh34,108.16,0.0,0.0,18.03
6,veh35,0.0,7112.84,0.0,18.81
6,veh36,4000.0,9920.07,0.0,15.99
6,veh37,4111.26,0.0,0.0,18.54
6,veh38,0.0,2883.99,0.0,19.34
6,veh39,5000.0,6915.33,0.0,14.11
6,veh40,9116.75,0.0,0.0,19.46
6,veh41,10000.0,7885.44,0.0,19.09
6,veh42,1906.45,10000.0,0.0,15.59
6,veh43,9934.93,10000.0,0.0,16.27
6,veh44,6926.59,3000.0,0.0,12.23
6,veh45,6915.43,3000.0,0.0,14.09
6,veh46,8916.17,2000.0,0.0,13.97
6,veh47,2000.0,9110.2,0.0,18.37
6,veh48,8099.16,2000.0,0.0,16.53
6,veh49,7069.83,8000.0,0.0,11.64
7,veh0,9000.0,1872.54,0.0,18.21
7,veh1,9894.2,4000.0,0.0,17.63
7,veh2,9111.89,8000.0,0.0,15.98
7,veh3,3870.36,0.0,0.0,18.52
7,veh4,1080.88,4000.0,0.0,11.55
7,veh5,1868.55,10000.0,0.0,18.78
7,veh6,0.0,8899.55,0.0,14.35
7,veh7,918.36,5000.0,0.0,11.66
7,veh8,10000.0,133.53,0.0,19.08
7,veh9,9897.27,5000.0,0.0,14.68
7,veh10,7125.14,3000.0,0.0,17.88
7,veh11,2134.51,2000.0,0.0,19.22
7,veh12,5000.0,2902.16,0.0,13.98
7,veh13,9078.12,2000.0,0.0,11.16
7,veh14,6893.54,4000.0,0.0,15.21
7,veh15,6895.69,8000.0,0.0,14.9
7,veh16,8928.81,0.0,0.0,11.87
7,veh17,3000.0,2920.73,0.0,11.32
7,veh18,2000.0,8138.72,0.0,19.82
7,veh19,7000.0,9880.3,0.0,17.1
7,veh20,6000.0,1124.35,0.0,17.76
7,veh21,9000.0,86.48,0.0,14.41
7,veh22,6907.5,3000.0,0.0,13.21
7,veh23,9000.0,132.68,0.0,18.95
7,veh24,5000.0,9877.29,0.0,17.53
7,veh25,9903.88,7000.0,0.0,13.73
7,veh26,4000.0,4087.11,0.0,12.44
7,veh27,9138.17,5000.0,0.0,19.74
7,veh28,5000.0,9902.01,0.0,14.0
7,veh29,3000.0,7916.24,0.0,11.97
7,veh30,1125.52,2000.0,0.0,17.93
7,veh31,5882.51,10000.0,0.0,16.78
7,veh32,6131.27,10000.0,0.0,18.75
7,veh33,8000.0,5894.96,0.0,15.01
7,veh34,126.18,0.0,0.0,18.03
7,veh35,0.0,7131.65,0.0,18.81
7,veh36,4000.0,9904.09,0.0,15.99
7,veh37,4129.81,0.0,0.0,18.54
7,veh38,0.0,2864.65,0.0,19.34
7,veh39,5000.0,6901.22,0.0,14.11
7,veh40,9136.21,0.0,0.0,19.46
7,veh41,10000.0,7866.34,0.0,19.09
7,veh42,1890.86,10000.0,0.0,15.59
7,veh43,9918.66,10000.0,0.0,16.27
7,veh44,6914.36,3000.0,0.0,12.23
7,veh45,6901.34,3000.0,0.0,14.09
7,veh46,8902.2,2000.0,0.0,13.97
7,veh47,2000.0,9128.57,0.0,18.37
7,veh48,8115.69,2000.0,0.0,16.53
7,veh49,7081.47,8000.0,0.0,11.64
8,veh0,9000.0,1854.33,0.0,18.21
8,veh1,9876.57,4000.0,0.0,17.63
8,veh2,9127.88,8000.0,0.0,15.98
8,veh3,3851.84,0.0,0.0,18.52
8,veh4,1092.44,4000.0,0.0,11.55
8,veh5,1849.77,10000.0,0.0,18.78
8,veh6,0.0,8885.2,0.0,14.35
8,veh7,906.69,5000.0,0.0,11.66
8,veh8,10000.0,152.61,0.0,19.08
8,veh9,9882.59,5000.0,0.0,14.68
8,veh10,7143.02,3000.0,0.0,17.88
8,veh11,2153.72,2000.0,0.0,19.22
8,veh12,5000.0,2888.19,0.0,13.98
8,veh13,9089.28,2000.0,0.0,11.16
8,veh14,6878.33,4000.0,0.0,15.21
8,veh15,6880.79,8000.0,0.0,14.9
8,veh16,8916.94,0.0,0.0,11.87
8,veh17,3000.0,2909.4,0.0,11.32
8,veh18,2000.0,8158.54,0.0,19.82
8,veh19,7000.0,9863.2,0.0,17.1
8,veh20,6000.0,1142.11,0.0,17.76
8,veh21,9000.0,100.89,0.0,14.41
8,veh22,6894.28,3000.0,0.0,13.21
8,veh23,9000.0,151.63,0.0,18.95
8,veh24,5000.0,9859.76,0.0,17.53
8,veh25,9890.15,7000.0,0.0,13.73
8,veh26,4000.0,4099.55,0.0,12.44
8,veh27,9157.91,5000.0,0.0,19.74
8,veh28,5000.0,9888.01,0.0,14.0
8,veh29,3000.0,7904.28,0.0,11.97
8,veh30,1143.45,2000.0,0.0,17.93
8,veh31,5865.72,10000.0,0.0,16.78
8,veh32,6150.02,10000.0,0.0,18.75
8,veh33,8000.0,5879.95,0.0,15.01
8,veh34,144.21,0.0,0.0,18.03
8,veh35,0.0,7150.45,0.0,18.81
8,veh36,4000.0,9888.1,0.0,15.99
8,veh37,4148.35,0.0,0.0,18.54
8,veh38,0.0,2845.32,0.0,19.34
8,veh39,5000.0,6887.11,0.0,14.11
8,veh40,9155.67,0.0,0.0,19.46
8,veh41,10000.0,7847.25,0.0,19.09
8,veh42,1875.27,10000.0,0.0,15.59
8,veh43,9902.4,10000.0,0.0,16.27
8,veh44,6902.13,3000.0,0.0,12.23
8,veh45,6887.24,3000.0,0.0,14.09
8,veh46,8888.23,2000.0,0.0,13.97
8,veh47,2000.0,9146.93,0.0,18.37
8,veh48,8132.22,2000.0,0.0,16.53
8,veh49,7093.11,8000.0,0.0,11.64
9,veh0,9000.0,1836.12,0.0,18.21
9,veh1,9858.93,4000.0,0.0,17.63
9,veh2,9143.86,8000.0,0.0,15.98
9,veh3,3833.32,0.0,0.0,18.52
9,veh4,1103.99,4000.0,0.0,11.55
9,veh5,1830.99,10000.0,0.0,18.78
9,veh6,0.0,8870.85,0.0,14.35
9,veh7,895.03,5000.0,0.0,11.66
9,veh8,10000.0,171.68,0.0,19.08
9,veh9,9867.92,5000.0,0.0,14.68
9,veh10,7160.9,3000.0,0.0,17.88
9,veh11,2172.94,2000.0,0.0,19.22
9,veh12,5000.0,2874.21,0.0,13.98
9,veh13,9100.44,2000.0,0.0,11.16
9,veh14,6863.12,4000.0,0.0,15.21
9,veh15,6865.89,8000.0,0.0,14.9
9,veh16,8905.07,0.0,0.0,11.87
9,veh17,3000.0,2898.08,0.0,11.32
9,veh18,2000.0,8178.35,0.0,19.82
9,veh19,7000.0,9846.1,0.0,17.1
9,veh20,6000.0,1159.87,0.0,17.76
9,veh21,9000.0,115.3,0.0,14.41
9,veh22,6881.07,3000.0,0.0,13.21
9,veh23,9000.0,170.59,0.0,18.95
9,veh24,5000.0,9842.23,0.0,17.53
9,veh25,9876.42,7000.0,0.0,13.73
9,veh26,4000.0,4112.0,0.0,12.44
9,veh27,9177.65,5000.0,0.0,19.74
9,veh28,5000.0,9874.02,0.0,14.0
9,veh29,3000.0,7892.31,0.0,11.97
9,veh30,1161.38,2000.0,0.0,17.93
9,veh31,5848.94,10000.0,0.0,16.78
9,veh32,6168.77,10000.0,0.0,18.75
9,veh33,8000.0,5864.95,0.0,15.01
9,veh34,162.24,0.0,0.0,18.03
9,veh35,0.0,7169.26,0.0,18.81
9,veh36,4000.0,9872.12,0.0,15.99
9,veh37,4166.9,0.0,0.0,18.54
9,veh38,0.0,2825.98,0.0,19.34
9,veh39,5000.0,6873.0,0.0,14.11
9,veh40,9175.13,0.0,0.0,19.46
9,veh41,10000.0,7828.15,0.0,19.09
9,veh42,1859.67,10000.0,0.0,15.59
9,veh43,9886.13,10000.0,0.0,16.27
9,veh44,6889.89,3000.0,0.0,12.23
9,veh45,6873.15,3000.0,0.0,14.09
9,veh46,8874.26,2000.0,0.0,13.97
9,veh47,2000.0,9165.3,0.0,18.37
9,veh48,8148.75,2000.0,0.0,16.53
9,veh49,7104.75,8000.0,0.0,11.64
10,veh0,9000.0,1817.92,0.0,18.21
10,veh1,9841.3,4000.0,0.0,17.63
10,veh2,9159.84,8000.0,0.0,15.98
10,veh3,3814.8,0.0,0.0,18.52
10,veh4,1115.55,4000.0,0.0,11.55
10,veh5,1812.21,10000.0,0.0,18.78
10,veh6,0.0,8856.5,0.0,14.35
10,veh7,883.37,5000.0,0.0,11.66
10,veh8,10000.0,190.76,0.0,19.08
10,veh9,9853.24,5000.0,0.0,14.68
10,veh10,7178.78,3000.0,0.0,17.88
10,veh11,2192.16,2000.0,0.0,19.22
10,veh12,5000.0,2860.24,0.0,13.98
10,veh13,9111.6,2000.0,0.0,11.16
10,veh14,6847.91,4000.0,0.0,15.21
10,veh15,6850.98,8000.0,0.0,14.9
10,veh16,8893.21,0.0,0.0,11.87
10,veh17,3000.0,2886.75,0.0,11.32
10,veh18,2000.0,8198.17,0.0,19.82
10,veh19,7000.0,9829.0,0.0,17.1
10,veh20,6000.0,1177.64,0.0,17.76
10,veh21,9000.0,129.72,0.0,14.41
10,veh22,6867.85,3000.0,0.0,13.21
10,veh23,9000.0,189.54,0.0,18.95
10,veh24,5000.0,9824.7,0.0,17.53
10,veh25,9862.69,7000.0,0.0,13.73
10,veh26,4000.0,4124.44,0.0,12.44
10,veh27,9197.38,5000.0,0.0,19.74
10,veh28,5000.0,9860.02,0.0,14.0
10,veh29,3000.0,7880.34,0.0,11.97
10,veh30,1179.31,2000.0,0.0,17.93
10,veh31,5832.16,10000.0,0.0,16.78
10,veh32,6187.52,10000.0,0.0,18.75
10,veh33,8000.0,5849.94,0.0,15.01
10,veh34,180.26,0.0,0.0,18.03
10,veh35,0.0,7188.07,0.0,18.81
10,veh36,4000.0,9856.13,0.0,15.99
10,veh37,4185.44,0.0,0.0,18.54
10,veh38,0.0,2806.65,0.0,19.34
10,veh39,5000.0,6858.89,0.0,14.11
10,veh40,9194.59,0.0,0.0,19.46
10,veh41,10000.0,7809.06,0.0,19.09
10,veh42,1844.08,10000.0,0.0,15.59
10,veh43,9869.86,10000.0,0.0,16.27
10,veh44,6877.66,3000.0,0.0,12.23
10,veh45,6859.05,3000.0,0.0,14.09
10,veh46,8860.29,2000.0,0.0,13.97
10,veh47,2000.0,9183.67,0.0,18.37
10,veh48,8165.27,2000.0,0.0,16.53
10,veh49,7116.38,8000.0,0.0,11.64
11,veh0,9000.0,1799.71,0.0,18.21
11,veh1,9823.67,4000.0,0.0,17.63
11,veh2,9175.83,8000.0,0.0,15.98
11,veh3,3796.28,0.0,0.0,18.52
11,veh4,1127.1,4000.0,0.0,11.55
11,veh5,1793.43,10000.0,0.0,18.78
11,veh6,0.0,8842.15,0.0,14.35
11,veh7,871.7,5000.0,0.0,11.66
11,veh8,10000.0,209.83,0.0,19.08
11,veh9,9838.57,5000.0,0.0,14.68
11,veh10,7196.65,3000.0,0.0,17.88
11,veh11,2211.37,2000.0,0.0,19.22
11,veh12,5000.0,2846.26,0.0,13.98
11,veh13,9122.76,2000.0,0.0,11.16
11,veh14,6832.7,4000.0,0.0,15.21
11,veh15,6836.08,8000.0,0.0,14.9
11,veh16,8881.34,0.0,0.0,11.87
11,veh17,3000.0,2875.43,0.0,11.32
11,veh18,2000.0,8217.99,0.0,19.82
11,veh19,7000.0,9811.9,0.0,17.1
11,veh20,6000.0,1195.4,0.0,17.76
11,veh21,9000.0,144.13,0.0,14.41
11,veh22,6854.64,3000.0,0.0,13.21
11,veh23,9000.0,208.5,0.0,18.95
11,veh24,5000.0,9807.17,0.0,17.53
11,veh25,9848.96,7000.0,0.0,13.73
11,veh26,4000.0,4136.88,0.0,12.44
11,veh27,9217.12,5000.0,0.0,19.74
11,veh28,5000.0,9846.02,0.0,14.0
11,veh29,3000.0,7868.38,0.0,11.97
11,veh30,1197.25,2000.0,0.0,17.93
11,veh31,5815.37,10000.0,0.0,16.78
11,veh32,6206.28,10000.0,0.0,18.75
11,veh33,8000.0,5834.93,0.0,15.01
11,veh34,198.29,0.0,0.0,18.03
11,veh35,0.0,7206.87,0.0,18.81
11,veh36,4000.0,9840.14,0.0,15.99
11,veh37,4203.98,0.0,0.0,18.54
11,veh38,0.0,2787.31,0.0,19.34
11,veh39,5000.0,6844.78,0.0,14.11
11,veh40,9214.05,0.0,0.0,19.46
11,veh41,10000.0,7789.96,0.0,19.09
11,veh42,1828.49,10000.0,0.0,15.59
11,veh43,9853.6,10000.0,0.0,16.27
11,veh44,6865.42,3000.0,0.0,12.23
11,veh45,6844.96,3000.0,0.0,14.09
11,veh46,8846.32,2000.0,0.0,13.97
11,veh47,2000.0,9202.03,0.0,18.37
11,veh48,8181.8,2000.0,0.0,16.53
11,veh49,7128.02,8000.0,0.0,11.64
12,veh0,9000.0,1781.5,0.0,18.21
